author_id,article_id,author_num
16,399,1
3654,399,2
9,400,3
26,401,1
826,401,5
9067,401,6
53,402,2
51,406,1
41,407,2
47,408,1
5455,408,3
48,409,1
5,410,2
1799,411,3
2105,411,5
1965,411,6
4965,411,7
2278,411,9
58,411,10
2105,411,11
792,412,1
678,412,2
6208,413,1
1959,413,3
31,414,1
1974,415,1
2,415,2
62,416,1
4,417,3
50,419,2
34,420,1
57,421,2
40,422,7
6,423,1
875,423,3
2002,423,15
6211,423,16
3,424,5
36,425,1
1731,425,4
25,426,7
14,427,2
23,428,3
3183,429,6
44,429,7
5208,430,2
12,430,5
54,431,2
10,434,4
4704,434,5
19,435,1
741,436,1
8,436,3
33,437,1
18,438,3
24,439,3
7651,439,6
43,440,1
7,441,2
30,442,2
7089,442,3
4498,442,4
1933,442,5
59,444,1
9,446,1
42,447,4
26,448,1
232,448,3
4854,448,6
7817,448,7
2357,448,9
2475,448,10
41,449,3
3492,450,3
49,450,7
45,451,1
1959,452,2
15,453,1
51,454,1
22,455,3
53,456,3
17,457,1
2,458,1
38,459,6
48,460,1
47,461,1
628,462,5
64,462,6
21,464,5
27,465,1
1965,466,1
58,466,3
58,466,4
7241,466,10
6,468,3
12,469,3
16,470,3
1381,470,5
927,471,1
3,471,5
20,472,1
259,474,1
5020,474,3
55,475,6
57,477,5
5,478,3
4,480,6
66,481,3
43,482,2
34,483,1
14,484,2
54,485,1
40,486,2
792,487,2
7,488,1
62,489,4
36,491,1
3214,491,2
58,492,1
2278,492,3
50,493,1
741,494,1
8,494,5
9,496,9
978,497,1
23,497,2
24,498,3
25,499,2
18,500,3
450,501,1
6208,501,2
1959,501,4
19,502,6
44,503,4
47,504,1
3194,504,7
64,505,1
21,506,2
33,507,1
51,508,1
67,509,1
3070,509,2
2288,509,3
3171,509,4
49,510,1
68,511,4
69,513,1
195,514,2
2,514,3
53,515,1
32,517,1
875,519,1
45,519,2
59,520,5
41,522,1
20,523,2
1040,524,1
58,524,2
4854,526,4
7547,526,5
7817,526,6
26,526,7
2475,526,13
34,527,1
57,528,2
7089,529,2
30,529,3
1933,529,7
12,530,3
27,531,2
1585,531,3
38,532,2
43,533,3
5020,534,3
16,535,7
4818,536,9
6,536,11
9750,536,17
3,537,3
58,537,4
55,538,1
48,539,1
42,541,1
66,542,1
60,543,1
36,544,2
3214,544,7
54,545,1
6177,545,3
2445,545,4
7831,545,5
7530,545,13
8,546,2
64,547,1
1959,548,1
9,549,6
14,550,1
5213,551,1
1827,551,3
4,552,5
2,553,1
47,554,4
18,555,1
31,556,1
31,556,2
62,557,2
3500,557,4
50,558,2
10,559,6
4704,559,8
7,561,1
44,562,1
792,563,1
51,565,1
19,566,4
17,567,3
45,568,1
59,569,1
57,570,1
49,571,2
23,572,3
21,574,2
12,576,1
24,577,2
68,578,2
5542,579,1
9241,579,3
2278,579,4
43,580,1
36,582,2
64,585,2
58,586,1
1965,586,2
1965,586,4
58,586,5
7241,586,9
9624,586,10
34,587,1
25,589,2
6,590,2
4953,590,11
741,592,1
8,592,3
8,592,5
2,593,2
27,594,2
51,595,1
792,595,3
945,595,5
550,595,7
26,595,8
826,595,11
20,596,1
38,597,5
450,598,1
1959,598,4
3,600,3
60,601,1
71,602,1
5020,603,2
9221,603,4
53,604,3
69,605,1
54,606,2
41,607,1
5950,608,1
30,608,2
1933,608,3
4,609,1
7778,609,4
16,611,1
40,612,4
7381,612,5
48,613,1
31,615,2
42,616,1
51,617,1
44,618,4
9,619,14
18,620,2
66,621,1
2074,621,5
62,622,4
47,623,8
14,624,1
696,624,3
12,626,1
21,627,2
10,628,4
19,629,1
1086,630,1
2784,630,2
792,630,3
6742,630,5
64,632,2
34,633,1
36,634,2
5503,635,2
59,636,10
875,637,1
45,637,2
23,638,1
49,639,3
26,641,2
722,641,4
826,641,5
1865,642,1
1959,642,2
2,643,1
8,644,2
68,645,7
17,646,2
2341,647,1
70,647,2
53,648,3
6,649,3
24,650,1
31,651,1
31,651,2
18,653,1
32,655,4
20,657,3
71,658,1
1933,659,1
30,659,3
2182,659,4
1118,660,2
4,660,5
5020,661,1
16,662,2
33,663,5
48,664,1
22,667,2
58,668,1
114,668,2
1040,668,4
3,669,4
25,670,2
51,671,1
6018,671,2
7,672,1
114,673,2
2278,673,3
314,673,4
571,673,5
54,674,2
2611,675,4
14,675,7
57,677,2
62,678,3
41,679,9
40,680,1
9709,682,1
3783,682,4
7817,682,5
792,682,8
3286,682,10
69,683,1
66,684,1
2074,684,3
34,685,1
47,686,1
10,688,1
45,689,1
3076,690,1
12,690,3
21,691,4
59,692,4
44,693,4
450,694,1
1959,694,5
9,695,2
42,696,1
64,697,1
8,698,2
2,699,5
1215,700,6
36,700,7
6,702,1
19,703,3
4793,703,4
23,704,1
945,705,4
26,705,5
7119,705,6
9067,705,7
826,705,8
678,706,1
2013,706,2
31,706,3
18,707,1
27,708,1
60,709,2
8953,709,9
1230,709,14
581,710,1
51,710,2
4854,710,4
14,711,1
16,712,3
68,713,1
7298,713,4
708,713,6
7197,713,8
49,715,5
71,716,1
53,717,3
20,718,1
5208,718,2
5020,719,6
959,720,1
24,720,2
58,722,2
1965,722,3
58,722,4
1965,722,5
7241,722,8
9624,722,9
2105,722,11
2105,722,12
12,723,1
45,724,1
2357,724,2
66,725,1
1933,726,1
3194,726,2
30,726,5
54,727,1
4,728,1
7,729,1
3078,729,2
17,730,1
70,731,1
25,732,3
6418,733,3
4293,733,4
3851,733,7
3194,733,8
47,733,11
8219,734,5
3,735,3
58,735,4
62,737,2
34,738,4
48,739,1
9593,739,2
57,740,6
4520,740,8
10,741,1
792,742,2
128,742,3
22,745,2
21,746,2
44,748,6
41,749,2
69,750,1
40,751,4
1965,752,1
2,752,2
33,753,1
1959,756,2
9,757,2
8,758,1
6495,758,2
3388,759,1
2588,759,4
26,760,2
128,760,4
826,760,5
3214,761,1
36,761,2
18,762,2
6,763,2
1648,764,3
2092,764,5
51,764,6
3294,765,2
68,766,2
5,767,1
7,768,5
71,769,1
27,770,2
12,771,3
64,772,2
23,773,1
978,773,2
2543,774,1
4,774,2
31,775,2
20,776,1
14,777,3
54,778,2
70,780,3
3047,780,4
24,782,2
16,783,2
3,784,2
58,784,3
42,785,3
45,786,2
49,787,1
2105,787,2
1965,789,2
3326,789,3
1986,789,4
58,789,5
9624,789,7
58,789,8
7241,789,10
19,790,5
114,791,1
2278,791,3
1739,791,4
5020,793,2
9183,793,5
5477,794,3
57,794,4
34,796,1
1933,798,1
9772,798,2
230,798,4
30,798,6
47,799,1
53,800,3
7879,800,5
25,801,2
66,802,5
3647,802,6
66,802,7
697,803,4
792,803,6
230,803,7
6996,803,9
32,804,3
62,805,1
3728,805,7
48,806,3
75,809,2
3570,809,4
1330,810,1
69,810,2
41,812,6
17,813,1
9,814,8
71,815,1
44,816,4
10,817,1
68,818,1
36,819,2
4781,820,2
4404,820,6
1959,820,7
33,821,2
20,823,1
8,825,4
64,826,1
40,828,6
26,829,1
945,829,3
7119,829,4
9067,829,6
826,829,7
57,830,1
12,831,2
18,832,1
19,833,9
6,834,3
1827,835,1
23,835,5
1118,836,1
4,836,3
5020,837,1
14,838,1
4598,839,6
6418,839,8
4293,839,9
2372,839,10
5455,839,11
3194,839,12
47,839,13
51,841,1
826,841,2
5,842,1
60,843,1
31,844,2
3,845,1
1965,846,2
58,846,4
58,846,5
1965,846,6
8102,846,7
7241,846,9
25,848,3
16,849,3
27,850,1
24,851,1
54,852,1
70,853,2
4781,855,1
45,855,3
7,856,3
34,857,1
66,858,2
49,859,2
3492,859,3
41,860,1
62,861,1
30,862,2
5455,862,3
1933,862,6
42,863,2
75,864,1
21,865,5
48,868,1
6112,870,1
58,870,3
2791,870,5
2278,870,6
32,871,1
1959,872,3
8,873,3
71,874,1
53,875,2
1592,877,1
2,877,3
17,878,2
4407,880,1
792,880,5
7687,880,8
793,880,10
1273,880,13
9,881,6
8867,882,3
2543,883,3
4,883,5
36,884,5
9675,884,7
20,885,1
5992,886,2
2288,886,3
540,886,5
26,886,6
826,886,10
9366,886,11
5711,887,1
7539,887,2
1933,887,3
7501,887,4
47,887,6
1680,887,8
3194,887,9
68,889,4
44,890,4
12,891,1
9934,891,4
64,892,1
5,893,4
33,894,6
3694,895,2
6,895,4
6404,895,8
9750,895,13
4271,898,1
23,898,3
6943,898,4
67,899,1
3171,899,3
14,900,1
40,901,2
3907,903,9
6908,903,10
49,903,18
51,904,1
2092,904,2
66,905,1
3,906,1
5020,907,2
62,908,2
2341,910,1
70,910,5
16,911,4
27,914,4
31,915,1
1965,916,2
58,916,3
58,916,4
7241,916,7
2588,917,3
2182,919,1
1933,919,4
30,919,5
1933,919,7
54,920,1
48,921,1
19,922,3
45,924,1
875,924,2
7,925,2
25,926,7
5593,927,2
24,927,3
21,928,2
41,929,2
1959,930,6
75,931,2
3570,931,4
34,932,2
77,933,2
18,934,2
71,936,1
722,937,2
20,939,1
53,940,2
64,941,1
32,942,3
36,943,2
9,944,6
2,945,2
2791,946,5
4,946,6
47,947,1
17,948,1
272,949,1
26,949,4
2475,949,5
42,950,4
68,951,1
6,953,3
558,954,1
23,954,3
4271,954,5
45,958,2
8,959,1
722,960,2
1959,960,3
49,962,6
40,964,4
21,965,3
14,966,3
22,970,3
44,972,3
70,973,1
34,974,2
54,975,2
5020,976,2
67,977,2
3171,977,3
51,979,1
6018,979,5
66,980,2
18,981,2
31,982,1
984,983,1
1739,983,2
1637,983,3
9624,983,4
2105,983,5
2105,983,6
3070,983,7
114,983,9
1986,983,10
58,983,11
7241,983,12
19,984,4
75,985,1
195,986,2
2,986,3
71,987,1
62,988,4
36,989,4
1465,990,1
114,990,2
2278,990,3
58,990,4
6112,990,5
27,991,1
4307,991,2
5711,992,1
1915,992,2
722,992,3
4616,993,1
64,993,3
2191,993,5
24,994,1
4,996,4
20,997,2
5697,998,1
7,998,3
78,999,1
77,1000,1
26,1001,2
7119,1001,3
51,1001,4
9067,1001,5
826,1001,6
9,1002,5
68,1003,6
3868,1003,9
45,1004,1
741,1006,1
8,1006,4
23,1008,1
1933,1009,1
30,1009,2
16,1010,4
49,1012,8
8543,1013,2
7501,1013,3
1933,1013,4
47,1013,5
7539,1013,6
3194,1013,7
21,1015,1
34,1016,1
12,1017,1
14,1019,1
48,1020,1
40,1022,2
44,1023,2
41,1024,2
25,1025,8
2304,1026,1
450,1026,2
1959,1026,6
75,1027,3
51,1028,1
6018,1028,2
53,1029,2
18,1030,3
32,1033,4
70,1034,1
1286,1035,2
79,1035,3
78,1036,1
2473,1036,2
2,1037,1
4612,1037,2
17,1038,1
67,1039,1
450,1039,2
3070,1039,3
2288,1039,4
3171,1039,6
64,1042,2
22,1043,3
54,1044,1
4,1045,3
5020,1046,2
3067,1046,3
1648,1046,4
1127,1046,5
259,1046,6
36,1047,2
3214,1047,7
20,1048,1
5503,1049,4
10,1051,4
19,1052,2
45,1053,1
31,1055,2
42,1056,1
71,1057,1
9,1058,3
14,1059,2
114,1060,1
984,1060,2
2278,1060,3
58,1060,4
3194,1061,3
1592,1061,4
2105,1061,6
47,1061,10
1072,1062,1
3783,1062,2
230,1062,3
722,1062,5
34,1063,1
7119,1064,1
26,1064,3
51,1064,4
9067,1064,5
826,1064,6
7,1066,2
5,1067,5
24,1068,1
62,1069,1
77,1070,1
66,1071,5
3647,1071,10
75,1072,3
16,1073,4
68,1075,1
2222,1075,3
4965,1076,2
7089,1077,1
30,1077,2
1933,1077,4
6,1078,1
1994,1078,3
8,1079,2
23,1080,3
1986,1083,1
3851,1083,2
58,1083,4
628,1083,5
9624,1083,8
7241,1083,10
78,1084,1
1959,1085,1
21,1086,2
12,1087,1
53,1088,2
22,1089,3
51,1091,1
18,1092,1
44,1093,3
2,1095,1
32,1096,1
33,1097,4
3803,1099,4
47,1100,1
41,1101,2
7907,1102,3
49,1102,5
4969,1102,8
40,1103,2
70,1104,4
64,1105,7
2791,1106,1
48,1106,2
20,1107,1
26,1108,1
2357,1108,8
203,1108,10
2475,1108,11
68,1110,4
875,1110,6
36,1111,2
3948,1111,6
3214,1111,9
2130,1112,3
7,1113,5
34,1114,2
5020,1116,5
31,1117,2
19,1118,1
27,1121,2
71,1123,2
5,1124,1
77,1125,1
722,1126,1
75,1127,2
3570,1127,4
62,1128,3
14,1130,2
17,1131,1
24,1132,2
58,1133,1
1040,1133,3
42,1134,5
9,1135,7
3647,1136,1
18,1136,2
244,1137,1
3171,1137,3
3012,1137,8
5155,1137,9
67,1137,10
6,1138,2
21,1139,4
8,1141,2
58,1144,1
2278,1144,2
6937,1145,3
78,1145,5
1933,1146,1
3194,1146,3
30,1146,6
51,1147,1
4271,1148,1
23,1148,3
558,1148,6
7544,1149,52
80,1149,56
4567,1149,60
1740,1149,73
5007,1149,79
20,1151,2
12,1152,1
44,1153,1
49,1154,4
4,1155,1
3654,1156,1
16,1156,3
5278,1157,2
2,1157,5
54,1158,1
66,1159,4
36,1160,1
7,1161,5
6716,1162,12
7319,1162,22
71,1163,1
64,1165,1
70,1166,1
27,1167,2
79,1168,3
696,1169,1
5020,1169,2
3194,1169,3
7037,1169,5
45,1170,1
1915,1170,2
10,1171,3
22,1172,3
5,1173,11
48,1175,2
32,1176,80
19,1176,96
68,1177,1
9620,1177,2
3851,1178,1
3194,1178,7
47,1178,8
15,1180,2
53,1181,3
40,1183,1
75,1185,1
41,1186,10
77,1187,1
3647,1188,1
18,1188,2
26,1190,2
2357,1190,6
2475,1190,7
741,1191,1
8,1191,4
34,1192,1
5363,1193,3
1219,1193,4
792,1193,5
697,1193,7
6996,1193,9
6,1195,1
31,1196,3
9,1197,4
419,1198,2
24,1198,3
14,1199,6
80,1200,7
4101,1200,9
722,1201,2
1959,1201,3
2,1202,1
195,1202,5
17,1203,1
78,1205,1
54,1206,2
7,1208,1
62,1209,3
23,1210,3
4,1211,1
2543,1211,3
5,1212,6
66,1213,1
12,1214,4
71,1215,1
49,1216,3
3194,1217,1
47,1217,5
7089,1218,1
30,1218,2
5455,1218,3
1933,1218,5
67,1219,2
3171,1219,3
64,1222,2
16,1223,1
36,1225,1
3214,1225,4
20,1228,1
2092,1229,1
1648,1229,2
3271,1229,3
51,1229,6
44,1231,1
68,1232,1
9221,1233,1
5020,1233,5
18,1234,2
2357,1235,2
26,1235,3
159,1235,4
1963,1235,6
68,1235,7
826,1235,8
45,1237,2
79,1239,2
10,1241,1
14,1242,3
53,1243,2
58,1244,1
1965,1244,2
58,1244,4
7241,1244,8
9624,1244,9
27,1245,1
7583,1246,1
75,1246,4
70,1248,2
8,1249,2
7381,1250,2
40,1250,5
42,1251,1
6,1252,1
984,1254,1
24,1254,2
8161,1255,1
792,1255,2
34,1256,2
78,1257,1
48,1258,3
8584,1259,1
21,1259,3
41,1260,2
80,1261,4
54,1262,1
23,1264,2
1166,1264,3
777,1264,5
71,1265,1
1959,1266,1
6231,1267,1
1933,1267,2
30,1267,3
1648,1267,4
4498,1267,5
1933,1267,6
9,1269,8
2,1270,2
31,1271,2
4665,1271,3
12,1273,1
66,1274,6
5775,1276,5
51,1277,1
5020,1278,1
5711,1278,3
704,1278,4
7,1279,1
6905,1280,1
47,1281,1
3855,1281,4
159,1282,1
26,1282,4
1963,1282,5
826,1282,6
9205,1284,7
68,1284,8
17,1285,1
4804,1286,3
10,1286,6
77,1287,1
49,1288,2
4,1289,1
18,1290,1
19,1291,3
79,1292,4
62,1294,3
16,1295,5
8262,1296,6
14,1298,5
53,1299,3
75,1300,3
20,1302,1
44,1303,1
70,1304,5
67,1305,1
8340,1305,3
735,1305,4
7437,1308,1
24,1308,3
2737,1309,3
45,1309,4
40,1310,4
34,1311,2
31,1312,3
71,1313,1
8,1314,3
12,1315,5
32,1316,1
21,1317,2
27,1319,2
259,1320,1
5020,1320,2
42,1322,1
792,1323,1
1090,1323,2
273,1324,2
3194,1324,5
3194,1324,6
30,1324,7
1933,1324,8
78,1325,1
853,1326,3
23,1326,6
9,1328,9
4101,1329,5
4185,1329,12
80,1329,43
4,1331,1
22,1333,2
18,1334,5
49,1335,2
48,1336,2
9593,1336,3
68,1337,1
9620,1337,2
1959,1338,3
5697,1339,2
7,1339,5
54,1340,2
5,1341,4
79,1344,2
66,1346,5
3647,1346,10
10,1347,1
14,1348,5
20,1349,1
51,1350,2
2092,1350,3
77,1351,2
47,1354,6
16,1355,3
34,1356,1
3070,1358,1
67,1358,2
3171,1358,4
17,1359,1
83,1360,3
40,1361,6
15,1362,3
53,1363,3
62,1364,1
24,1365,2
75,1366,2
7257,1368,1
45,1368,2
792,1369,1
64,1370,2
12,1371,2
9,1372,7
71,1374,1
44,1375,1
5020,1376,2
70,1377,1
741,1378,2
8,1378,5
6208,1379,1
2,1379,3
2322,1380,1
58,1380,2
1465,1380,3
31,1381,1
777,1382,1
4560,1382,4
23,1382,5
7,1383,1
27,1384,1
21,1386,1
8041,1387,1
42,1387,4
48,1388,1
54,1389,4
18,1390,1
4810,1390,3
5020,1392,5
68,1392,6
230,1392,7
14,1393,1
66,1394,4
80,1396,1
20,1398,1
2988,1399,5
1959,1399,6
41,1400,1
1933,1401,1
2182,1401,3
30,1401,4
49,1403,2
79,1404,5
51,1405,3
1648,1405,4
77,1406,2
83,1407,1
60,1408,2
10,1409,2
17,1410,2
793,1411,1
993,1411,2
966,1411,3
6177,1411,5
399,1411,6
6517,1411,7
678,1411,8
927,1411,11
826,1411,13
927,1411,15
927,1411,16
792,1411,17
411,1411,19
6177,1411,22
3093,1411,26
927,1411,27
8990,1411,28
605,1411,30
1648,1411,32
2304,1411,34
959,1411,35
6231,1411,36
2587,1411,37
6208,1411,39
6349,1411,41
4781,1411,42
3363,1411,43
4598,1411,44
959,1411,49
7530,1411,50
792,1411,53
1103,1411,54
1085,1411,56
2821,1411,57
26,1411,58
708,1411,61
6294,1411,62
792,1411,64
7119,1411,65
2968,1411,66
1865,1411,67
2473,1411,69
5812,1411,70
793,1411,71
419,1411,72
5440,1411,73
31,1411,75
7530,1411,76
62,1412,3
71,1413,1
67,1414,1
5155,1414,2
3171,1414,4
75,1416,1
3194,1419,1
31,1419,3
102,1419,4
826,1419,5
47,1419,6
2570,1420,4
19,1420,5
16,1421,1
419,1422,3
24,1422,4
1974,1423,1
2,1423,2
12,1424,3
18,1427,1
34,1428,2
14,1429,7
21,1430,4
741,1431,3
8,1431,6
54,1432,2
27,1433,1
45,1436,1
23,1437,3
8426,1437,5
5020,1438,1
31,1439,2
58,1440,1
984,1440,3
3164,1440,4
7443,1440,5
7307,1440,6
114,1440,7
2278,1442,2
58,1442,3
273,1443,3
102,1443,5
68,1443,7
53,1444,4
70,1446,2
20,1447,1
3497,1448,1
78,1448,2
7882,1448,3
64,1449,3
1959,1450,1
80,1451,1
41,1452,1
9,1453,5
5,1454,4
7,1455,1
79,1456,3
44,1457,3
1933,1458,1
2155,1458,2
5365,1458,4
5455,1458,5
30,1458,6
8531,1458,8
48,1461,4
77,1463,3
75,1464,1
22,1465,1
60,1466,3
83,1467,1
2105,1468,1
49,1468,6
2092,1469,3
51,1469,6
14,1471,4
10,1472,1
71,1473,1
18,1475,1
34,1476,1
67,1477,1
7119,1477,3
3171,1477,5
62,1478,4
4598,1479,1
2372,1479,4
6418,1479,6
4293,1479,7
3851,1479,8
102,1479,10
47,1479,13
3194,1479,14
5503,1480,2
792,1481,2
4407,1481,7
574,1481,15
3288,1481,16
8914,1481,20
1273,1481,21
20,1482,1
21,1483,4
31,1484,1
27,1485,1
64,1486,1
58,1487,1
114,1487,3
826,1488,1
68,1488,5
54,1489,2
12,1490,1
2,1491,2
1965,1491,3
41,1492,1
40,1494,1
696,1496,1
7037,1496,2
3194,1496,3
5020,1496,4
5419,1497,1
17,1497,2
8,1500,3
1933,1501,1
8222,1501,2
30,1501,3
44,1502,3
7,1504,2
75,1507,1
86,1509,2
2791,1509,3
114,1510,2
2278,1510,3
58,1510,4
80,1511,4
9,1513,6
23,1514,3
1959,1515,2
3497,1516,1
78,1516,2
7882,1516,3
22,1517,5
53,1518,6
45,1519,1
14,1520,6
42,1521,2
77,1522,2
9873,1524,2
71,1525,1
79,1526,1
88,1527,2
49,1528,2
24,1529,1
21,1530,2
34,1531,1
64,1533,5
8543,1537,2
102,1537,3
68,1537,6
8,1538,3
6379,1539,3
67,1539,5
51,1539,6
20,1541,1
58,1542,1
2784,1542,2
984,1542,3
2569,1542,4
2105,1542,5
58,1542,8
4293,1543,1
6418,1543,2
3851,1543,3
3588,1543,7
47,1543,12
18,1544,1
75,1545,3
62,1546,1
792,1550,1
8161,1550,2
31,1551,2
83,1553,5
696,1554,1
2,1554,3
3171,1555,1
419,1555,3
67,1555,6
3171,1555,7
40,1556,2
70,1557,1
5020,1558,3
1959,1559,5
44,1560,2
5,1562,10
2278,1563,1
27,1564,1
2301,1565,1
1828,1565,2
1933,1565,3
30,1565,4
7,1568,1
5697,1568,2
41,1570,1
34,1571,2
86,1572,2
23,1573,2
42,1574,1
9,1575,11
53,1577,4
89,1578,1
17,1579,2
14,1580,7
12,1581,1
77,1582,1
71,1583,1
1915,1585,1
45,1585,2
8543,1586,2
1936,1586,3
102,1586,4
4854,1586,5
2182,1586,6
68,1586,9
24,1587,2
21,1588,1
54,1589,2
114,1590,1
2791,1590,3
2322,1590,5
58,1590,7
984,1590,8
79,1591,3
80,1594,1
64,1595,1
60,1596,5
976,1598,1
18,1598,4
8,1599,2
2092,1602,3
959,1602,5
2278,1602,6
3416,1602,7
51,1602,9
9593,1603,1
48,1603,2
20,1604,1
31,1605,1
2,1606,1
49,1607,3
67,1609,1
3070,1609,2
3171,1609,3
88,1610,1
62,1612,3
7583,1613,1
75,1613,4
7835,1615,1
4348,1615,2
