author_id,author_name,cited_by
336,Jorge Antonio Gómez Luna,110241
337,Dr Pang Hwee Hwa _,2606
338,Daichi Ida,103
339,Reinhard Sigel,1267
340,Ana Elizabeth Figueiredo,2997
341,Shalini Kandasamy,22
342,Hanan Haber,84
343,Ignacio Andrés Norambuena Paredes,9
344,Basten Snoek,2382
345,Thomas Daniell,84
346,Nicholas Sheard,110
347,CAI  Jianguo 蔡建国,1191
348,Matthew J. Rowland,918
349,JOSE IGNACIO PAREDES PEREZ,2
350,Md Jahangir Alam,38417
351,Xinzi Yu,1516
352,Jan Egger,1733
353,Stanislawa Kluska-Nawarecka,468
354,Pardeep K. Thakur,2060
355,James E. Hubbard Jr.,4249
356,Anna David PhD FRCOG MB ChB BSc (Hons),3517
357,Maria Kaufmann,145
358,Kaitlin H Snider,76
359,Jianzhu Ma,890
360,Rakshatha Kabbaligere,9
361,Peter Koppensteiner,157
362,Rafael Murrieta-Cid,1670
363,Deepesh Pandey,853
364,Yi-Fang Chuang,634
365,Roberto Benato,1316
366,Darnell Kaigler,3752
367,Francisco Diez-Gonzalez,4130
368,Karen Goodell,3096
369,Maryam Khayat Kashani,791
370,Richard D Smith,97712
371,Sean Rudd,451
372,Kun-Liang Guan,80694
373,Thinh Nguyen,4551
374,Laura Backstrom,97
375,Gustavo Gonsioroski,13
376,Professor Susan Seal,3284
377,Karina Garay-Palmett,494
378,Amaranta Herrero,82
379,Gabriel Tessaroli Giancristofaro,89
380,Angela Corona,803
381,Toshihiro Obata,2903
382,GUILHERME LUIZ DOTTO,3797
383,Quentin Rainer,1844
384,Janneth Cubillos Vargas,88
385,Joanne Young,22480
386,"Dmitry Egorov, Егоров Д.С.",391
387,Andrea Conroy,1361
388,Jeverson Teodoro Arantes Junior,450
389,Alan Lopes,12
390,Bernadette Bagon,18
391,Brian James Baer,864
392,Ali Boussayoud,119
393,Nicolas Berryman,498
394,Alexander Bisaro,341
395,Seung Soo Chun,1427
396,Jean-Charles Arnault,2654
397,Jimmy Moore,8
398,Maged Nasser,1
399,Zhihong Wu,762
400,Angelo Jonas Imperiale,61
401,Rute Antunes Marcelino,59
402,Helen Walker,6974
403,Natalia Neophytou,12
404,Andrea Slachevsky,7160
405,Zhang Yazhou,63
406,Khadija Habib,9
407,Yanping Zhou,199
408,Michelle Nokken,694
409,"Pamela Nichols, PhD",377
410,Roeland Juchtmans,207
411,Liang Yuan Dai,30
412,Hamideh Bahrami,148
413,Bao-Liang Lu （吕宝粮）,5982
414,May E Kim,88
415,Prof Prasad Potluri,1942
416,Richard MT Webb,896
417,seo young jeong,15557
418,Matthias Haase,785
419,Yanping Zhao,26
420,Greg Frost-Arnold,203
421,Rainer Riemann,6465
422,Wataru Takano,1249
423,Yuhong Fan,3699
424,Pezhman Zolfaghari,7
425,Nicholas Charron,2800
426,Edgar E. Gutiérrez-Espeleta,195
427,Haijun Yang,182215
428,Shmulik P. Friedman,4119
429,Chi-Kuang Sun,9171
430,Varvara V. Zubyuk,122
431,Trystan Upstill,789
432,Riccardo Salvini,494
433,Matthias Neufang,741
434,Zhenghu Xu,1601
435,Nadia abdulkarim Salih,14
436,Minnie Earl Sears,274
437,Sung-Chang Lim (임성창),1174
438,Jennifer Hinton,9
439,Tsung-Yi Lin,9436
440,Marilyn Tseng,2432
441,Rafael de La Torre Fornell,20374
442,Francesco De Zan,1969
443,Anders Fogh,347
444,Yiannis Nikolaidis,413
445,Lilia Guadalupe Noriega Lopez,4012
446,Gianfranco Basti,588
447,Mohsen Gorji,331
448,Sara T. Kover,1288
449,Rafał Andrzejczyk,229
450,Ji Zhou,350
451,Jiwook Jung,584
452,Stanley G. Harris,9864
453,Peter D. Drummond,16359
454,Ren-He Xu,6083
455,marie-odile cordier,3855
456,Yi-Bing Cheng,46042
457,Prof. Mohammad Pervez Mughal,335
458,ZHILONG WEI,177
459,Giuseppe Vitiello,7781
460,Moto KAMIURA,104
461,Gabriel Mittag,43
462,Sameera Omar bafeel,330
463,Louis-Jan Pilaz,846
464,Pauline M Anton,1390
465,Fabiola M. Ribeiro,1548
466,Ahmed S. Yasin,355
467,Shiori Sagawa,54
468,Soumya Iyengar,654
469,James Buckley,18517
470,Erwin Adi Hartono,55
471,Constantin Theodore Yiannoutsos,12538
472,Zaneta Wojnarowska,2043
473,Eri Ogiso-Tanaka,755
474,John David Osborne,880
475,Jean C. Batzer,1063
476,Noah Haber,201
477,Adar Sharon,75
478,Michal Miko,53
479,Xiana Bueno,129
480,Dionysios Papadatos,71
481,Peter J. Murray,24984
482,Robert Cottis,3508
483,Larissa Maiorova (Valkova),457
484,Maria Rosaria Iesce,1650
485,Wenzhen Li 李文震,11476
486,Fabrizio Cleri,4490
487,Dries Hannes Bostyn,109
488,Albert Griera,869
489,Barbora Vacková,130
490,Fatemeh Soltani,1442
491,Claudia Azevedo-Ramos,2397
492,Nelson Mimura Gonzalez,368
493,Ainnur Hafizah Anuar Mokhtar,17
494,"Brenda Berkelaar, PhD",610
495,Cyrille Forestier,3889
496,TEDRA WALDEN,4259
497,Viviane Elisangela Gomes,301
498,Jayanta Tarafdar,187
499,subramaniam sethupathy,1311
500,Sandra Mjoll Jonsdottir-Buch,109
501,Christopher Hackney,199
502,J. William Murdock,4540
503,Alexander Dunkel,119
504,"Victor Fedorenko, Віктор Федоренко",1559
505,Helen Parker,752
506,pietro pantano,1748
507,Christiano J. S. de Matos,2351
508,Trần Anh Khoa,17
509,Paul Prinsloo,1580
510,Nihat Yılmaz,56
511,Michele Mazza,498
512,Khoa Anh Tran,15
513,Preetismita Borah,28
514,Muhammad Umair Ali,58
515,Mona M.K. Hijazi,15
516,Mustafa Durgun,579
517,Fatemeh Ramezani Kapourchali,180
518,Danny Reinberg,67558
519,Alison Giovanelli,131
520,Kate Henning,144
521,Kirsten Taylor,269
522,Marc Gesnik,34
523,Stefanie Tenberg,73
524,Zdeněk Moravec,321
525,Grant Wardell-Johnson,4292
526,Carol Robbins,260
527,Aasheesh Kolli,411
528,Mark Elliott,4444
529,Potluri Venkata Subbaiah,517
530,Dalva Maria Pereira Padilha,1216
531,Simon Sung,105
532,Joachim Krauth,77
533,Jiande Wang,40
534,Claire Currie,2051
535,Jian-Hung Chen,55246
536,Nawaf Bin Darwish,51
537,Guido Vagliasindi,582
538,Takaki Komiyama,2839
539,Joseph Dien,5889
540,Yu Jeffrey Hu,4893
541,Lucas Jorge Abdala,16
542,Alyssa Martin,17
543,Thomas Hasenzagl,8
544,Inmaculada Vicente Garcia,1
545,Wendy Keung,2143
546,anahita ghorbani,14
547,José Juan Barajas de Prat,673
548,Rolando García-Martínez,67
549,Guoxian Chen,179
550,Hui Zhang,31284
551,"YoungAh Park, Ph.D.",575
552,Hanqi Zhuang,4692
553,Elhadji Amadou Oury Diallo,7
554,Dr. Mahesh Kumar Yadav,280
555,Davide Fiocco,217
556,Allan Lohse,7
557,Terrance Johns,6682
558,Shailesh Kumar,21354
559,Abdelalim Kamal Farag,209
560,Chris Huggins,941
561,Nilesh Samani,111223
562,Sangaraju Shanmugam,4625
563,Richard Connor,11639
564,Michael Hannon,211
565,Serena Brundu,71
566,Miranda Loh,696
567,Caillin Eastwood-Sutherland,17
568,Radu Dogaru,1317
569,Randolph Blake+R. Randolph Blake,25500
570,Guido J. Falcone,2095
571,Young-Jo Kim,29047
572,ravinder jeet singh sidhu,9618
573,John Aitchison,747
574,Jin-Han Xie,65
575,Georgios Piliouras,870
576,João Batista Lopes da Silva,11725
577,Omar Fathy,999
578,Luigi Ippolito,136
579,Gary Douglas Myers,3491
580,Ana Raquel Marques,428
581,Wan-Ting Huang,1176
582,James Prendergast,5346
583,Antonio Daniel Alves Carvalho,2
584,Andrea Ghoneim-Rosenauer,2
585,Natalia V. Malkova,1031
586,Ruikun Mai,1239
587,Anna V Kononova,111
588,W. Gregory Cope,2858
589,Samira Kheitan,13
590,Dr Jan Krabicka,208
591,Tom Lahmer,1367
592,Brian H. Johnston,2385
593,Zhangfu Yuan,1729
594,Florian Alt,3788
595,Michiel J. van Setten,1927
596,Olaf Dellwig,1936
597,Dr. S. P. Thyagarajan,4750
598,Roman Stępniewski,2223
599,Jason Potter Burda,20
600,Yijie Shen,96
601,Cecile Grezes,1080
602,Richard J. Goodwin,1472
603,Sumit Deswal,489
604,Anna Seydell-Greenwald,507
605,Pengcheng Zhu,4247
606,Minji Gwon,250
607,Takamichi Sushida,41
608,Sergio Costa Oliveira,6811
609,Eric Voorn,49
610,Sara Blaine,258
611,Theib Y. Oweis,7395
612,Santi Sakdarat,548
613,Jan von der Goltz,98
614,Moumita Deb,15
615,Prasad Rao,1419
616,Jaemin Jung,1541
617,Michael Garcia,9647
618,Annelise de Souza Rosa-Fontana,75
619,Rosa Maria E. Moreira da Costa,478
620,Cristina Crespo,271
621,Luz Andrea Guevara Garay,2
622,Shuai Gong （龚帅）,682
623,LIKUN AI,302
624,Sadir G. Bucella,261
625,Jacob van der Land,2758
626,Dr. Sandeep Ramchandra Pai,479
627,Clara M. Ionescu,2962
628,Sooyeon Park,228
629,Meysam Deghati Najd میثم دقتی نجد,26
630,Benjamin R. Rost,1552
631,Xiaodong Han,8269
632,Pan Liu (刘攀),4930
633,Dongxing XUAN,828
634,Karina Verdel-Aranda,56
635,Gary Lilien,18205
636,Artemi Cerdà,14696
637,Marcela Losantos Velasco,63
638,Bart Fraaije,4007
639,R J Steel,15317
640,Félix Alfredo Beltrán Morales,257
641,FRANCOISE WEMELSFELDER,3174
642,Chang-Ling Zou,3896
643,Hirokazu Kimura,10901
644,Mario Ricardo  Gongora-Rubio,1207
645,Ethan Gordon,18
646,Joaquin C. B. Nunez,19
647,Kevin M Passino,21898
648,Katchen Julliany Pereira Silva,161
649,Samuel Jiménez Gil,11
650,Kay-Eberhard Gottschalk,2911
651,Catherine Keegan,2434
652,kadda argoub,21
653,Freek T. Bakker,3605
654,Brian V. Nahed MD MSc.,5778
655,John Irwin Garver,5951
656,Bettina Peters,3917
657,Jose Carlos Jimenez-Lopez,2039
658,Philip Cunningham,478
659,Bruce D. Weinberg,2976
660,Josino Costa Moreira,7433
661,Vincenzo Guidetti,5166
662,Isaac Alexander Chaim,226
663,Guillaume Aoust,575
664,Cécile MALNOU,678
665,DR. SANGEETHA G KAIMAL,30
666,Amaia Abanda,16
667,Ali Abolfathi,34
668,I. Aberna Ebenezer Selvakumari,41
669,Alistair W Stewart,26442
670,Amit Kumar Pandey,2137
671,Chun-Hao Peng,22653
672,Marilyn Ford-Gilboe,3156
673,Manoj Jaysankar,501
674,Svetlana A. Borisova,721
675,César G. Escobar-Viera,191
676,GengXin LIU,124
677,Dharam Paul Chaudhary,590
678,Lucy T. Zhang,1753
679,Weidong Ye,29
680,Derek Stemple,19347
681,Panayoula C. Tsiotra,952
682,Marjan Javanbakht,1936
683,Prof. Prince Ahmad Ganai,112
684,Leonardo Mejia Rincon,86
685,Colin Murray-Wallace,4479
686,Hossein Hosseinkhani,5464
687,Afonso Malheiro,33
688,Morakinyo Adetutu,86
689,Claude Carlet,10053
690,Alberto Barrón-Cedeño,2442
691,Krishna Pantakani,553
692,Magali Christe Cammarota,2183
693,Lida Omaleki,59
694,Francisco Manuel Braz Fernandes,2466
695,Cristina Tarin,538
696,Mingwei Tang,5
697,Junqiao Zhao,330
698,Lorenzo Franchi,13380
699,Xavier Basurto,4106
700,Zulfiqar Hasan Khan,315
701,Sergio Luis Costa Ferreira,5648
702,Hari Krishna Garg,3807
703,Chunfang Zhang,125242
704,Carr Hoi Yi Ho,185
705,Tomonaga OKABE,3626
706,Zhen-Ming Ge,780
707,Thanh-Son Dao,663
708,Meishan Zhang,721
709,Robert Lascola,764
710,"Michael Graham Espey, PhD MT",12861
711,"Amit Kumar Pandey (PhD, Robotics & AI)",970
712,Sandeep kumar yadav,3956
713,Frederico Araujo Durão,489
714,Dong-Kwon Lim,3009
715,Shakhnaz Akhmedova,224
716,James Terborg,5911
717,Alexander Gerber,267
718,Christian Roessler,47
719,Krzysztof Zegadlo,44
720,Bryan W. Brooks,9735
721,Bjoern Niesen,4398
722,Jianbo Zhang,393
723,Dmitriy Markovich,1793
724,ANJON AUDHYA,5181
725,Hugo Mitre-Hernández,98
726,Chengqiang Tang,66
727,FENG-RU SHEU,172
728,Walter Alejandro Imilan,298
729,José Vicente Elias Bernardi,911
730,MinHyeok Kim,9858
731,Michael Winklhofer,4372
732,Sandra Naomi Morioka,484
733,Candace Foster Johnson,10568
734,Nicole Schaeublin,1101
735,Yinbo Yu,10
736,Bert W. Hoeksema,7715
737,Ojmarrh Mitchell,2619
738,Connor Scully-Allison,6
739,M.WANG Jin,52766
740,Antônio Carlos Gil,80430
741,Kimberly Kelly,5640
742,Esperanza Arias,9844
743,Heval Atas,18
744,Bo Wah Leung,262
745,Jeffrey A. Kline,18704
746,Maria Ivanova,1317
747,Julien Bouvard,16
748,Eva M. Romera,778
749,Aron Ahmadia,205
750,Colene Byrne,629
751,Jeremy M. Simon,12430
752,Krishna Iyer,844
753,Iris Yuwen Zhou,779
754,Hiroko Shimizu,170
755,Guihai Yan,387
756,José Maria Cardoso da Silva,9360
757,Christopher Karpovich,16
758,Michael J. Jung,409
759,Camilla Geels,2475
760,Jen Quick-Cleveland,55
761,Iraj Ahadzadeh,335
762,Vivian Cardoso Castiglioni,6
763,Adeline Otto,92
764,Alessio Avenanti,4984
765,Lenin Alexander Bulla Cruz,22
766,Daniel Joyce,120
767,Rafał Komendarczyk,128
768,Henry Ian Schiller,3
769,Dr. Karthik Rathinam,543
770,hillary young,3390
771,Linda Jørgensen,320
772,Ghaith alhaik,6
773,Pedro Jose,13294
774,Sabrina Alves Fernandes,280
775,Ipung Fitri Purwanti,140
776,Sourabh Shukla,2108
777,Sasanka Sekhar Ghosh,43
778,Nathan Quinlan,1110
779,Robert Robicheaux,2204
780,Maria Alejandra Gonzalez Porras,32
781,Graham Cousens,360
782,Chan Yun Yoo,1233
783,Carlos Muravchik,2753
784,Sadjad Riyahi-Alam,76
785,Martin Horak,365
786,Chaokang Gu,203
787,Galina Mirzaeva,556
788,"Phil Gauger, DVM, MS, PhD",3637
789,Daniela Bauer,52
790,chrystian pereira,192
791,Marja Tiirola,2699
792,Xiaoqian Zhang,475
793,Yongjun Li,1787
794,Dario Martin-Benito,1303
795,"Frances Forrest, Ph.D.",210
796,Michael Kruger,4920
797,Ren-Ci Peng,297
798,Mauricio Sarrazin,503
799,Todd Gerarden,505
800,Dragos George Zaharescu,161
801,Kristen L. Parker Gaddis,252
802,Jukka 'Jups' Heikkilä,1001
803,Pieter Glatzel,11553
804,Mirko Meboldt,1003
805,Hannah Bowers,99
806,Ellen Winner,21357
807,Bart van den hurk,15930
808,Vesna Chappell,1004
809,Francisco Javier Espinosa Rosales,2403
810,Chun-Ta Lai,4380
811,Jean-Christophe Renauld,25297
812,Habib M. Pathan,3032
813,Sarbari Ghosh,92
814,Umasankar Dash,88
815,Wei-Yin Loh,9189
816,Eun Seo Jo,1
817,Yongwook Jeong,215
818,Maryam Faghih Abdollahi,14
819,Theodore 'Ted' Kennedy,2996
820,Siavash Ahrar,110
821,Rania Omrani,29
822,Mohammadreza Zakeri,163
823,Jonathan Carapetis,91261
824,Maryam Abdollahi,8
825,Martin Sandig,1940
826,Honghao Li,118
827,Terry Shin,19
828,Michael Wilkins,5795
829,Emmanuel G. Kifaro,54
830,"Subhadeep Saha, Ph.D",708
831,Majid Siavashi,933
832,shengzhou wu,8004
833,Richard G. Luthy,16588
834,SANTIAGO SANTA CRUZ,272
835,Naresh Pavurala,129
836,Mahyar Vajedi,265
837,Paz Rico Belda,161
838,Daniel Alex Heckert,1366
839,Mohammad Z. Siam,228
840,Nagamani Chikkannagari,894
841,Dr. Subhadip De,429
842,De-Yang Shen,243
843,Ivan Oleynik,4339
844,Mårten Palme,6517
845,Jairton Dupont,31572
846,Moises Serra Serra,68
847,Princess Lyons,18
848,Julian McAuley,6872
849,Hamza Fawzi,988
850,Ayodeji T. Bode-Oke,34
851,Amir Ben-Dor,11934
852,Michael Heneghan,10379
853,Subhadeep De,279
854,Matteo Tiberti,470
855,Anthony B. Firulli,3924
856,Steven Kelly,3218
857,Georg Robert Sadowski,923
858,Juana Pérez,3693
859,asgar ali,19968
860,Hongru Zhu,219
861,Rikta Saha,420
862,Young Sang Kim,40632
863,Carman Neustaedter,4585
864,Germán Puebla,3862
865,Christoph E Gerber,55384
866,Alexandru-Adrian TANTAR,485
867,Daniel Falush,28666
868,Karan Gupta,131
869,Saurabh Swami,8
870,Jacqueline Moustakas-Verho,212
871,Patrícia Bet,14
872,Christopher Sleet,1193
873,David J Smith,17715
874,Francisco Mas-Ruiz,2444
875,Ying Jun Zhang,4342
876,Ineke Nederend,212
877,Stefan Priebe,25349
878,Kristina Steiner,138
879,Mariusz Bajger,346
880,Fábio Joel Kochem Mallmann,214
881,Ophir Klein,6427
882,Guennady Ougolnitsky,193
883,JUN AKIMOTO,471
884,Erica do Espirito Santo Hermel,91
885,Tom Skyhøj Olsen,17016
886,Ray Richardson,1352
887,Min Zhou,25953
888,Marcello Mezaroba,411
889,Mathieu Piednoël,450
890,Qinfeng Guo 郭勤峰,4503
891,Joseph Maiolo,624
892,Jannick Ingrin,2510
893,Tina Saebi,1180
894,Simone Gaffling,93
895,Stephane Mazzotti,3797
